TSTAMP,DEVICE_ID,Tank3PMovAvg,TempF,Forecast_1P,Forecast_6P,Forecast_12P,Forecast_36P,Forecast_72P,Forecast_144P,Forecast_288P
2020-03-20 13:08:14.393,1,2.799999999999913,24.3,4.42121,,,,,,
2020-03-20 13:13:19.393,1,2.6999999999999127,24.0,4.152583,,,,,,
2020-03-20 13:18:23.393,1,2.6999999999999127,23.6,3.9697945,,,,,,
2020-03-20 13:23:27.397,1,2.6999999999999127,23.4,3.8689516,,,,,,
2020-03-20 13:28:56.433,1,2.799999999999913,23.7,3.8053157,,,,,,
2020-03-20 13:34:00.433,1,2.899999999999913,24.6,3.8064277,4.796685,,,,,
2020-03-20 13:39:04.433,1,2.8333333333332464,25.2,3.854455,4.5203195,,,,,
2020-03-20 13:44:08.437,1,3.033333333333246,24.5,3.8768375,4.2850814,,,,,
2020-03-20 13:49:37.473,1,3.081355878654524,24.3,3.9505177,4.1371527,,,,,
2020-03-20 13:54:41.473,1,3.34802254532119,24.0,4.0129814,4.0321813,,,,,
2020-03-20 13:59:45.473,1,3.0480225453211895,23.6,4.128746,3.9998896,,,,,
2020-03-20 14:04:49.477,1,2.7999999999999123,23.6,4.1545696,4.0339017,5.0344777,,,,
2020-03-20 14:10:19.513,1,2.6999999999999127,24.4,4.085392,4.033268,4.790148,,,,
2020-03-20 14:15:23.513,1,2.799999999999913,25.1,3.9710832,4.1067843,4.5620775,,,,
2020-03-20 14:20:27.513,1,2.799999999999913,24.0,3.8775163,4.1928935,4.392984,,,,
2020-03-20 14:25:31.517,1,2.799999999999913,23.6,3.8364277,4.317101,4.2635674,,,,
2020-03-20 14:31:17.553,1,2.739612049528238,24.1,3.8561602,4.327424,4.2044344,,,,
2020-03-20 14:36:21.553,1,2.7261719977047107,24.8,3.8501546,4.229524,4.2100554,,,,
2020-03-20 14:41:26.553,1,2.5595053310380447,24.6,3.8254828,4.1479483,4.194531,,,,
2020-03-20 14:46:30.557,1,2.71989328150972,25.2,3.7584207,4.1111836,4.26148,,,,
2020-03-20 14:51:58.593,1,2.9333333333332474,24.6,3.7532794,4.0620823,4.3244042,,,,
2020-03-20 14:57:02.593,1,3.0999999999999135,24.8,3.8114288,4.047844,4.4491153,,,,
2020-03-20 15:02:06.593,1,2.8333333333332473,24.4,3.916904,4.012374,4.430411,,,,
2020-03-20 15:07:10.597,1,2.7413706559671467,24.6,3.954383,3.9826133,4.3904686,,,,
2020-03-20 15:12:44.633,1,2.9413706559671464,24.5,3.9390209,3.9104297,4.3193736,,,,
2020-03-20 15:17:48.633,1,3.108037322633813,23.9,3.9324613,3.9166987,4.3264885,,,,
